Name,Address,Dorm Code,Is Driver,Num Seats
p1,"906 W College Ct, Urbana, IL 61801",PAR,no,
p2,"906 W College Ct, Urbana, IL 61801",PAR,no,
p3,"1005 W College Ct, Urbana, IL 61801",FAR,no,
p4,"1005 W College Ct, Urbana, IL 61801",FAR,no,
p5,"207 East Gregory Drive, Champaign, IL 61820",Nugent,no,
p6,"1107 S 4th St, Champaign, IL 61820",Greg Towers,no,
p7,"1201 S 4th St, Champaign, IL 61820",Lundgren,no,
p8,"806 W Springfield Ave, Urbana, IL",APT,yes,4
p9,"106 South Coler Avenue, Urbana, IL",APT,no,
p10,"29 East Green Street, Champaign IL",West Quad,yes,4
p11,"1010 W Illinois St, Urbana, IL 61801",ISR,no,
p12,"1005 W Gregory Dr, Urbana, IL 61801",Allen Hall,no,
p13,"206 E Peabody Dr, Champaign, IL 61820",Snyder,no,
p14,"204 E Peabody Dr, Champaign, IL 61820",Weston,no,
p15,"1202 S 1st St, Champaign, IL 61820",Wassaja,no,
p16,"1010 S 2nd St, Champaign, IL 61820",Armory House,no,
p17,"202 E Peabody Dr, Champaign, IL 61820",Scott Hall,no,
p18,"103 E Gregory Dr, Champaign, IL 61820",Hopkins Hall,no,
p19,"1215 S 4th St, Champaign, IL 61820",Taft,no,
p20,"906 W College Ct, Urbana, IL 61801",PAR,yes,6
p21,"1007 South First, Champaign IL",APT,yes,4
p22,"1109 West Stoughton, Urbana IL",APT,yes,4
